facility_name,responsible_emitter,state,industry,erc_fy2024_25,baseline_t,covered_emissions_t,commodity_group
2. Solid Waste Services - MRL,Cleanaway Waste Management Limited,VIC,"Waste treatment, disposal and remediation services (292)",0.902,377924,197276,other
APLNG Facility,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.902,2059639,2206497,lng
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,NSW,Coal mining (060),0.902,2305451,2359680,coal
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,WA,Oil and gas extraction (070),0.902,132862,144213,oil
ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.902,757811,587292,iron_ore
Arcadia,Santos Limited,QLD,Oil and gas extraction (070),0.902,144203,134510,lng
Arrow Surat Operations,Arrow Energy Holdings Pty Ltd,QLD,Oil and gas extraction (070),0.902,185665,179006,lng
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.902,194109,682780,coal
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,National,Rail freight transport (471),0.902,574103,658557,other
AusNet Gas Services Pty Ltd,AusNet Services Holdings Pty Ltd,VIC,Gas supply (270),0.902,180601,187314,other
Australian Gas Networks (Vic) Pty Ltd,Australian Gas Networks Holding Pty Ltd,VIC,Gas supply (270),0.902,110234,111347,other
Ballera,Santos Limited,QLD,Oil and gas extraction (070),0.902,104065,149747,lng
Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD,QLD,Coal mining (060),0.902,122977,133263,coal
Batchfire Resources No.1,BATCHFIRE RESOURCES PTY LTD,QLD,Coal mining (060),0.902,200861,229693,coal
Beaudesert Plant - A J Bush & Sons (Mfrs) P/L,A.J. Bush & Sons (Manufactures) Pty Ltd,QLD,Meat and meat product manufacturing (111),0.902,0,102839,other
Beharra Springs,BEACH ENERGY LIMITED,WA,Oil and gas extraction (070),0.902,100000,128002,gas_west
Bell Bay Smelter,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,TAS,Basic non-ferrous metal manufacturing (213),0.98,349556,341166,aluminium
Bengalla Operations,Bengalla Mining Company Pty Limited,NSW,Coal mining (060),0.902,526009,692775,coal
Birkenhead Operations,ADBRI LIMITED,SA,"Cement, lime, plaster and concrete product manufacturing (203)",0.902,874516,796132,other
Blackwater Coal Mine,WHITEHAVEN BLACKWATER PTY LTD,QLD,Coal mining (060),0.902,690525,801671,coal
Blair Athol Operations,ORION MINING PTY LTD,QLD,Coal mining (060),0.902,100000,101931,coal
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,NSW,Coal mining (060),0.902,200054,218760,coal
Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.98,920815,943720,aluminium
Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,152378,304904,iron_ore
Brockman 4 Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.902,165060,232771,iron_ore
Bulga Coal Complex,BULGA COAL MANAGEMENT PTY LIMITED,NSW,Coal mining (060),0.902,692463,585235,coal
Burton Complex,BOWEN COKING COAL LIMITED,QLD,Coal mining (060),0.902,182836,173658,coal
